Date,ProductID,OurPrice,CompetitorPrice,UnitsSold,Inventory
2024-01-10,P004,82.22,81.62,44,111
2024-01-11,P004,79.84,77.99,46,166
2024-01-12,P004,84.82,80.31,34,58
2024-01-13,P004,83.59,77.07,34,265
2024-01-14,P004,85.02,84.86,38,138
2024-01-15,P004,93.2,95.58,34,186
2024-01-16,P004,85.11,81.55,43,275
2024-01-17,P004,76.72,69.94,25,139
2024-01-18,P004,88.21,85.33,25,254
2024-01-19,P004,85.38,85.94,36,235
2024-01-20,P004,94.78,94.24,36,82
2024-01-21,P004,86.66,84.57,37,108
2024-01-22,P004,83.14,77.28,26,149
2024-01-23,P004,92.37,91.31,43,72
2024-01-24,P004,86.61,83.15,37,243
2024-01-25,P004,89.55,82.08,24,137
2024-01-26,P004,84.35,81.92,30,282
2024-01-27,P004,84.98,82.82,37,268
2024-01-28,P004,87.91,83.1,35,71
2024-01-29,P004,83.06,80.44,26,56
2024-01-30,P004,91.14,86.77,27,275
2024-01-31,P004,78.22,68.62,29,179
2024-02-01,P004,81.84,81.03,51,270
2024-02-02,P004,84.88,83.78,37,234
2024-02-03,P004,76.22,71.52,28,211
2024-02-04,P004,79.2,80.53,45,121
2024-02-05,P004,83.36,78.92,22,76
2024-02-06,P004,87.76,86.58,37,230
2024-02-07,P004,84.65,77.63,31,58
2024-02-08,P004,85.26,77.96,18,166
2024-02-09,P004,78.19,81.09,38,131
2024-02-10,P004,97.82,93.33,28,82
2024-02-11,P004,90.16,89.7,28,95
2024-02-12,P004,85.44,78.96,31,251
2024-02-13,P004,85.77,80.43,38,126
2024-02-14,P004,84.56,79.37,24,223
2024-02-15,P004,90.05,88.71,48,172
2024-02-16,P004,85.76,80.82,35,111
2024-02-17,P004,83.78,88.02,43,183
2024-02-18,P004,84.47,85.42,40,155
2024-02-19,P004,93.89,89.51,33,74
2024-02-20,P004,83.86,82.13,28,232
2024-02-21,P004,87.99,79.0,27,292
2024-02-22,P004,82.95,80.58,33,208
2024-02-23,P004,91.11,87.29,34,175
2024-02-24,P004,86.58,86.72,35,277
2024-02-25,P004,77.29,72.57,33,61
2024-02-26,P004,82.1,72.24,32,75
2024-02-27,P004,87.93,85.71,28,127
2024-02-28,P004,72.41,70.54,23,295
2024-02-29,P004,84.67,84.86,36,179
2024-01-01,P005,24.97,21.71,28,242
2024-01-02,P005,20.76,18.8,29,63
2024-01-03,P005,20.14,11.28,30,182
2024-01-04,P005,26.34,19.17,32,261
2024-01-05,P005,30.12,22.3,26,98
2024-01-06,P005,25.01,23.3,36,157
2024-01-07,P005,20.51,17.65,28,50
2024-01-08,P005,22.44,16.34,40,290
2024-01-09,P005,31.68,30.99,33,92
2024-01-10,P005,23.44,21.64,30,200
2024-01-11,P005,18.74,16.95,38,168
2024-01-12,P005,21.13,16.84,36,151
2024-01-13,P005,22.14,19.8,37,267
2024-01-14,P005,22.58,19.5,28,96
2024-01-15,P005,20.85,18.06,44,82
2024-01-16,P005,26.19,23.61,40,154
2024-01-17,P005,24.61,19.35,38,126
2024-01-18,P005,20.08,16.1,35,181
2024-01-19,P005,28.33,27.04,34,137
2024-01-20,P005,28.0,20.99,26,299
2024-01-21,P005,31.07,25.53,29,98
2024-01-22,P005,12.34,14.65,31,243
2024-01-23,P005,11.85,6.8,38,247
2024-01-24,P005,14.94,12.46,33,136
2024-01-25,P005,26.07,25.63,50,200
2024-01-26,P005,27.68,24.2,35,117
2024-01-27,P005,22.15,20.81,26,289
2024-01-28,P005,33.34,31.18,45,185
2024-01-29,P005,27.69,19.98,32,181
2024-01-30,P005,23.55,24.5,29,88
2024-01-31,P005,32.33,30.0,25,91
2024-02-01,P005,22.38,21.77,26,221
2024-02-02,P005,23.72,19.44,44,167
2024-02-03,P005,35.83,34.07,40,265
2024-02-04,P005,28.84,24.94,41,203
2024-02-05,P005,18.81,12.64,33,196
2024-02-06,P005,18.92,22.36,41,276
2024-02-07,P005,22.7,22.98,37,86
2024-02-08,P005,29.22,31.09,39,127
2024-02-09,P005,20.36,17.85,26,56
2024-02-10,P005,19.08,21.0,37,290
2024-02-11,P005,25.05,25.66,34,158
2024-02-12,P005,17.59,12.46,28,98
2024-02-13,P005,25.56,25.46,25,57
2024-02-14,P005,24.75,24.25,36,52
2024-02-15,P005,15.6,8.61,26,235
2024-02-16,P005,18.14,17.03,35,170
2024-02-17,P005,11.42,6.92,36,79
2024-02-18,P005,34.69,32.87,25,210
2024-02-19,P005,23.87,28.27,33,85
2024-02-20,P005,17.74,12.08,28,268
2024-02-21,P005,23.4,15.56,34,203
2024-02-22,P005,25.04,29.52,51,135
2024-02-23,P005,13.13,13.78,37,215
2024-02-24,P005,20.9,21.4,42,229
2024-02-25,P005,20.37,20.31,37,243
2024-02-26,P005,22.97,22.43,37,174
2024-02-27,P005,24.53,21.18,39,275
2024-02-28,P005,25.64,22.8,32,127
2024-02-29,P005,21.23,20.13,42,92
2024-01-01,P006,61.1,53.42,73,138
2024-01-02,P006,68.41,64.4,64,239
2024-01-03,P006,63.82,59.13,79,53
2024-01-04,P006,59.99,59.73,82,280
2024-01-05,P006,72.05,71.07,75,276
2024-01-06,P006,61.81,53.41,80,135
2024-01-07,P006,66.5,60.36,81,264
2024-01-08,P006,68.21,61.85,65,291
2024-01-09,P006,61.69,60.23,60,258
2024-01-10,P006,68.26,62.34,72,232
2024-01-11,P006,65.72,64.38,82,270
2024-01-12,P006,63.29,53.46,64,109
2024-01-13,P006,66.68,62.54,91,281
2024-01-14,P006,78.45,73.63,78,249
2024-01-15,P006,69.5,65.73,74,118
2024-01-16,P006,68.11,70.27,86,298
2024-01-17,P006,71.63,72.31,88,66
2024-01-18,P006,60.93,55.01,69,184
2024-01-19,P006,64.61,65.19,77,295
2024-01-20,P006,63.76,63.4,105,153
2024-01-21,P006,60.56,62.06,72,175
2024-01-22,P006,66.61,63.26,98,163
2024-01-23,P006,63.76,59.65,74,62
2024-01-24,P006,75.31,73.83,86,60
2024-01-25,P006,63.52,61.12,73,299
2024-01-26,P006,70.56,68.01,69,81
2024-01-27,P006,66.06,63.05,71,61
2024-01-28,P006,66.83,64.68,84,185
2024-01-29,P006,69.53,71.32,71,135
2024-01-30,P006,63.52,63.25,80,51
2024-01-31,P006,69.66,64.71,83,292
2024-02-01,P006,65.54,59.72,71,146
2024-02-02,P006,58.17,55.4,78,88
2024-02-03,P006,72.67,70.29,75,235
2024-02-04,P006,66.62,61.07,82,59
2024-02-05,P006,71.46,70.21,81,161
2024-02-06,P006,69.05,70.42,77,292
2024-02-07,P006,67.13,67.8,80,160
2024-02-08,P006,76.3,72.1,87,86
2024-02-09,P006,65.7,61.46,72,120
2024-02-10,P006,78.74,74.85,58,104
2024-02-11,P006,66.44,63.78,76,196
2024-02-12,P006,71.56,66.9,74,199
2024-02-13,P006,73.0,72.55,88,222
2024-02-14,P006,65.51,59.85,72,165
2024-02-15,P006,71.53,71.18,73,247
2024-02-16,P006,73.77,72.52,65,127
2024-02-17,P006,71.92,71.54,99,293
2024-02-18,P006,60.61,54.09,44,167
2024-02-19,P006,68.37,60.06,64,292
2024-02-20,P006,64.21,54.54,69,241
2024-02-21,P006,62.11,58.95,61,291
2024-02-22,P006,68.16,65.6,69,106
2024-02-23,P006,71.5,72.18,101,157
2024-02-24,P006,62.89,57.03,70,266
2024-02-25,P006,65.03,61.99,65,210
2024-02-26,P006,66.82,64.15,69,252
2024-02-27,P006,68.0,66.55,95,285
2024-02-28,P006,70.38,71.14,69,214
2024-02-29,P006,61.0,65.24,79,227
2024-01-01,P007,78.55,81.29,90,216
2024-01-02,P007,78.1,80.53,76,114
2024-01-03,P007,70.72,67.07,91,123
2024-01-04,P007,64.39,58.36,88,137
2024-01-05,P007,74.69,72.36,84,292
2024-01-06,P007,73.06,71.87,82,176
2024-01-07,P007,80.18,79.6,94,63
2024-01-08,P007,74.74,67.05,81,146
2024-01-09,P007,82.52,78.13,82,172
2024-01-10,P007,82.75,78.04,111,123
2024-01-11,P007,74.91,69.72,92,121
2024-01-12,P007,73.96,74.81,107,91
2024-01-13,P007,86.3,77.81,71,158
2024-01-14,P007,74.87,73.32,79,150
2024-01-15,P007,80.11,78.81,83,159
2024-01-16,P007,76.32,77.56,95,151
2024-01-17,P007,78.15,72.83,70,197
2024-01-18,P007,72.17,70.96,100,227
2024-01-19,P007,77.63,73.34,90,265
2024-01-20,P007,82.69,79.62,82,70
2024-01-21,P007,73.21,75.13,107,131
2024-01-22,P007,80.02,80.79,94,118
2024-01-23,P007,78.35,76.49,81,174
2024-01-24,P007,70.31,70.87,96,216
2024-01-25,P007,78.55,72.53,68,235
2024-01-26,P007,66.52,63.9,79,166
2024-01-27,P007,83.49,78.94,100,186
2024-01-28,P007,79.37,79.7,83,268
2024-01-29,P007,71.37,68.82,86,149
2024-01-30,P007,71.44,67.53,84,133
2024-01-31,P007,75.95,72.04,74,159
2024-02-01,P007,77.18,75.13,97,120
2024-02-02,P007,81.22,84.39,97,68
2024-02-03,P007,78.04,80.55,77,113
2024-02-04,P007,67.7,66.28,99,282
2024-02-05,P007,81.45,75.86,95,159
2024-02-06,P007,79.0,82.76,105,61
2024-02-07,P007,76.55,77.04,72,244
2024-02-08,P007,84.81,81.56,87,84
2024-02-09,P007,79.47,84.53,93,125
2024-02-10,P007,70.6,67.27,82,199
2024-02-11,P007,84.26,85.21,93,181
2024-02-12,P007,72.14,70.31,80,116
2024-02-13,P007,78.32,75.75,90,50
2024-02-14,P007,73.08,65.44,95,110
2024-02-15,P007,73.14,70.03,75,242
2024-02-16,P007,69.13,58.35,82,225
2024-02-17,P007,71.73,66.72,85,95
2024-02-18,P007,73.78,73.1,88,241
2024-02-19,P007,66.82,64.17,105,86
2024-02-20,P007,80.45,75.72,86,232
2024-02-21,P007,76.11,76.34,78,50
2024-02-22,P007,83.6,78.48,98,158
2024-02-23,P007,68.29,67.98,100,140
2024-02-24,P007,74.32,73.04,93,213
2024-02-25,P007,71.76,67.84,84,274
2024-02-26,P007,67.83,62.14,91,78
2024-02-27,P007,70.75,71.98,94,259
2024-02-28,P007,74.69,70.74,90,142
2024-02-29,P007,76.49,71.26,73,61
2024-01-01,P008,39.15,33.84,93,176
2024-01-02,P008,46.41,40.81,82,231
2024-01-03,P008,38.6,38.85,68,279
2024-01-04,P008,38.75,40.05,94,205
2024-01-05,P008,47.56,45.93,83,205
2024-01-06,P008,34.55,30.91,93,197
2024-01-07,P008,41.22,31.87,71,288
2024-01-08,P008,39.33,34.18,74,118
2024-01-09,P008,46.19,43.52,83,80
2024-01-10,P008,36.03,34.3,82,236
2024-01-11,P008,34.5,31.8,67,156
2024-01-12,P008,34.59,30.5,79,278
2024-01-13,P008,38.01,38.22,81,183
2024-01-14,P008,45.94,44.05,106,158
2024-01-15,P008,39.99,38.18,83,102
2024-01-16,P008,38.98,39.67,79,100
2024-01-17,P008,40.23,33.26,82,188
2024-01-18,P008,30.18,29.43,85,276
2024-01-19,P008,41.7,37.63,71,148
2024-01-20,P008,41.54,41.24,85,214
2024-01-21,P008,36.61,34.97,93,167
2024-01-22,P008,41.35,39.75,83,198
2024-01-23,P008,41.71,43.6,67,218
2024-01-24,P008,39.46,32.94,89,299
2024-01-25,P008,56.35,49.62,79,204
2024-01-26,P008,29.4,35.81,92,255
2024-01-27,P008,29.08,20.94,78,184
2024-01-28,P008,45.91,42.29,93,87
2024-01-29,P008,44.51,43.87,100,116
2024-01-30,P008,36.21,34.44,77,243
2024-01-31,P008,46.15,40.55,79,212
2024-02-01,P008,37.4,36.97,94,86
2024-02-02,P008,42.41,40.87,95,240
2024-02-03,P008,39.95,34.3,63,207
2024-02-04,P008,50.63,49.98,85,94
2024-02-05,P008,40.23,39.06,77,168
2024-02-06,P008,37.71,36.6,82,267
2024-02-07,P008,32.04,26.75,71,185
2024-02-08,P008,36.13,31.72,73,280
2024-02-09,P008,32.37,28.98,83,106
2024-02-10,P008,36.57,35.32,89,123
2024-02-11,P008,49.08,49.8,68,63
2024-02-12,P008,32.25,28.6,75,79
2024-02-13,P008,34.3,31.5,89,168
2024-02-14,P008,42.86,42.3,77,234
2024-02-15,P008,40.08,37.05,60,87
2024-02-16,P008,41.03,40.73,83,221
2024-02-17,P008,35.79,36.16,70,196
2024-02-18,P008,45.43,43.0,83,100
2024-02-19,P008,44.33,40.92,77,214
2024-02-20,P008,43.77,41.1,92,224
2024-02-21,P008,42.69,37.24,84,70
2024-02-22,P008,51.28,47.05,80,90
2024-02-23,P008,35.1,31.91,84,154
2024-02-24,P008,46.25,42.29,91,122
2024-02-25,P008,42.04,40.93,87,136
2024-02-26,P008,32.31,31.76,72,67
2024-02-27,P008,40.77,36.75,79,70
2024-02-28,P008,35.69,28.45,59,187
2024-02-29,P008,35.45,32.75,86,151
2024-01-01,P009,42.58,31.67,21,231
2024-01-02,P009,48.24,42.4,34,139
2024-01-03,P009,37.77,38.11,38,153
2024-01-04,P009,39.86,37.27,28,214
2024-01-05,P009,48.58,43.35,28,175
2024-01-06,P009,52.53,55.04,38,277
2024-01-07,P009,44.54,42.27,36,263
2024-01-08,P009,45.23,42.68,32,173
2024-01-09,P009,40.2,37.08,20,108
2024-01-10,P009,47.52,48.86,31,254
2024-01-11,P009,46.17,46.59,31,284
2024-01-12,P009,49.89,44.19,28,223
2024-01-13,P009,38.23,34.76,43,64
2024-01-14,P009,45.95,42.51,39,127
2024-01-15,P009,32.62,34.22,20,142
2024-01-16,P009,48.44,45.31,33,124
2024-01-17,P009,45.91,44.03,27,68
2024-01-18,P009,41.15,36.43,34,174
2024-01-19,P009,45.8,42.86,34,57
2024-01-20,P009,40.03,40.17,28,130
2024-01-21,P009,44.84,38.23,31,186
2024-01-22,P009,45.99,44.63,29,220
2024-01-23,P009,43.98,37.01,31,204
2024-01-24,P009,43.58,39.12,31,58
2024-01-25,P009,43.64,42.48,32,116
2024-01-26,P009,50.77,45.97,29,67
2024-01-27,P009,34.47,36.3,39,242
2024-01-28,P009,44.74,41.18,26,246
2024-01-29,P009,46.13,48.24,34,164
2024-01-30,P009,39.18,32.19,33,181
2024-01-31,P009,36.58,34.22,26,161
2024-02-01,P009,41.84,40.17,21,64
2024-02-02,P009,43.13,43.23,24,240
2024-02-03,P009,49.85,43.64,31,116
2024-02-04,P009,29.05,29.79,20,158
2024-02-05,P009,47.13,36.45,18,110
2024-02-06,P009,48.65,45.16,18,125
2024-02-07,P009,47.07,40.62,30,136
2024-02-08,P009,47.94,45.65,36,228
2024-02-09,P009,41.37,34.97,25,290
2024-02-10,P009,37.22,28.83,29,211
2024-02-11,P009,45.77,46.97,48,298
2024-02-12,P009,46.05,42.61,32,150
2024-02-13,P009,43.84,37.97,27,282
2024-02-14,P009,37.65,34.1,24,247
2024-02-15,P009,44.82,43.32,35,130
2024-02-16,P009,41.83,37.45,31,130
2024-02-17,P009,48.97,48.78,33,64
2024-02-18,P009,31.5,28.93,39,92
2024-02-19,P009,36.09,32.01,32,170
2024-02-20,P009,55.12,57.91,34,129
2024-02-21,P009,42.48,40.29,36,253
2024-02-22,P009,45.78,41.87,35,221
2024-02-23,P009,47.14,42.97,32,56
2024-02-24,P009,45.8,42.26,31,121
2024-02-25,P009,44.02,39.1,25,76
2024-02-26,P009,47.06,43.64,28,118
2024-02-27,P009,41.0,32.87,28,243
2024-02-28,P009,41.16,34.41,30,264
2024-02-29,P009,51.28,46.79,20,131
2024-01-01,P010,94.87,91.07,73,261
2024-01-02,P010,85.78,79.99,68,59
2024-01-03,P010,103.54,100.89,77,215
2024-01-04,P010,95.45,93.63,59,279
2024-01-05,P010,94.43,89.26,76,276
2024-01-06,P010,88.51,88.0,69,274
2024-01-07,P010,99.29,101.58,79,51
2024-01-08,P010,93.93,91.76,76,74
2024-01-09,P010,95.72,91.22,69,186
2024-01-10,P010,97.87,94.68,70,155
2024-01-11,P010,90.85,89.94,79,76
2024-01-12,P010,90.69,87.26,71,142
2024-01-13,P010,80.91,79.66,76,227
2024-01-14,P010,92.49,90.28,80,112
2024-01-15,P010,90.14,81.51,60,65
2024-01-16,P010,97.05,95.41,75,251
2024-01-17,P010,86.62,83.9,81,183
2024-01-18,P010,92.03,92.25,87,236
2024-01-19,P010,105.72,100.46,64,299
2024-01-20,P010,111.31,108.15,62,67
2024-01-21,P010,92.26,91.84,74,53
2024-01-22,P010,86.69,88.56,77,269
2024-01-23,P010,96.27,92.14,70,178
2024-01-24,P010,102.45,99.7,91,244
2024-01-25,P010,97.86,97.77,63,245
2024-01-26,P010,94.49,93.83,77,110
2024-01-27,P010,100.25,95.85,79,81
2024-01-28,P010,97.82,96.63,78,107
2024-01-29,P010,93.86,88.3,72,199
2024-01-30,P010,102.25,99.56,85,257
2024-01-31,P010,93.06,94.83,81,214
2024-02-01,P010,102.98,98.07,68,94
2024-02-02,P010,99.89,99.64,76,82
2024-02-03,P010,90.07,81.72,73,171
2024-02-04,P010,91.11,87.25,65,77
2024-02-05,P010,90.52,85.99,65,167
2024-02-06,P010,100.12,103.38,77,68
2024-02-07,P010,90.77,92.93,85,147
2024-02-08,P010,100.08,96.36,76,254
2024-02-09,P010,94.8,97.59,96,137
2024-02-10,P010,90.03,88.98,72,56
2024-02-11,P010,97.69,98.7,88,180
2024-02-12,P010,105.15,105.03,81,74
2024-02-13,P010,99.59,99.81,83,135
2024-02-14,P010,94.74,95.41,72,255
2024-02-15,P010,101.67,98.8,71,188
2024-02-16,P010,94.09,88.99,63,71
2024-02-17,P010,88.32,85.06,79,165
2024-02-18,P010,91.97,89.61,70,128
2024-02-19,P010,94.67,89.96,56,89
2024-02-20,P010,94.07,89.22,70,171
2024-02-21,P010,97.92,94.31,69,98
2024-02-22,P010,102.24,95.07,56,97
2024-02-23,P010,101.99,100.24,81,107
2024-02-24,P010,98.35,92.6,67,176
2024-02-25,P010,96.49,94.88,88,180
2024-02-26,P010,102.35,98.28,82,111
2024-02-27,P010,94.55,87.89,75,57
2024-02-28,P010,88.73,86.79,77,271
2024-02-29,P010,95.09,94.79,67,51
2024-01-01,P011,31.9,30.69,36,288
2024-01-02,P011,32.96,32.14,35,273
2024-01-03,P011,29.35,23.5,31,71
2024-01-04,P011,25.58,26.5,49,210
2024-01-05,P011,24.06,20.86,34,198
2024-01-06,P011,31.26,29.33,46,159
2024-01-07,P011,24.71,23.91,36,87
2024-01-08,P011,32.17,26.73,29,236
2024-01-09,P011,24.88,25.18,39,208
2024-01-10,P011,29.47,30.46,48,256
2024-01-11,P011,25.34,22.35,51,174
2024-01-12,P011,34.53,36.79,43,220
2024-01-13,P011,34.62,37.24,53,275
2024-01-14,P011,28.2,18.9,38,202
2024-01-15,P011,29.63,26.65,46,231
2024-01-16,P011,29.15,25.67,32,218
2024-01-17,P011,27.25,24.41,27,114
2024-01-18,P011,32.51,34.57,37,263
2024-01-19,P011,19.76,23.47,61,227
2024-01-20,P011,28.98,29.97,47,167
2024-01-21,P011,29.31,27.11,49,226
2024-01-22,P011,28.29,24.68,40,217
2024-01-23,P011,34.5,33.77,29,258
2024-01-24,P011,31.02,28.8,49,56
2024-01-25,P011,28.57,25.57,42,264
2024-01-26,P011,30.84,25.94,46,168
2024-01-27,P011,29.27,26.74,45,173
2024-01-28,P011,28.08,26.0,52,60
2024-01-29,P011,24.38,25.48,36,99
2024-01-30,P011,23.9,20.05,31,180
2024-01-31,P011,24.3,19.85,40,105
2024-02-01,P011,24.45,19.71,35,273
2024-02-02,P011,27.36,25.22,35,80
